technique,experiment_time_seconds,e_inspect,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,java_exam_score,output_length,cumulative_distance,cumulative_distance2,sv_comp_overall_score
Tarantula,589.0094189343629,1586.1913697824805,16,11.851851851851853,41,30.37037037037037,58,42.96296296296296,73,54.074074074074076,0.051662620778257194,0.004189992725541162,2521.348148148148,10.310770590103361,3.2379698931337395,-5.045775702168028
Ochiai,589.0094189343629,1583.4589417989419,16,11.851851851851853,41,30.37037037037037,58,42.96296296296296,73,54.074074074074076,0.05163232006860066,0.004155904427177535,2521.348148148148,10.616494823874216,3.338014657490959,-4.9090019301929315
DStar,589.0094189343629,1583.118201058201,15,11.11111111111111,40,29.629629629629626,57,42.22222222222222,73,54.074074074074076,0.051630826618868225,0.0041542242962285545,2521.348148148148,10.897454309847138,3.4359376042667806,-4.9044712724846296
Metallaxis,15774.390040752623,6705.735776149776,13,9.62962962962963,34,25.185185185185183,40,29.629629629629626,50,37.03703703703704,0.17256415741554368,0.003470449924030685,113.8962962962963,32.12070167204071,7.697714929078969,-5.224035199193701
Muse,15774.390040752623,6713.678986681263,8,5.9259259259259265,26,19.25925925925926,34,25.185185185185183,43,31.851851851851855,0.17194447287313444,0.0023244579620409615,113.8962962962963,22.90044297241492,6.187024947712927,-5.689906625056991
PS,9751.161942639174,11944.634198316757,4,2.9629629629629632,7,5.185185185185185,9,6.666666666666667,9,6.666666666666667,0.2787497218988966,0.00010556862466765817,1.0296296296296297,17.116777563553907,10.410846287053285,-8.966969062073986
ST,1.603535818170618,9810.348914328477,0,0.0,5,3.7037037037037033,8,5.9259259259259265,18,13.333333333333334,0.2241291127567302,0.002402072293431907,42.85925925925926,8.243865648880641,6.690540812333194,-8.035110803926349
SBFL,589.0094189343629,1584.2561708798742,15.666666666666666,11.604938271604938,40.666666666666664,30.123456790123456,57.666666666666664,42.71604938271605,73.0,54.074074074074076,0.05164192248857536,0.0041667071496490835,2521.348148148148,10.608239907941572,3.3373073849638266,-4.953082968281863
MBFL,15774.390040752623,6709.707381415519,10.5,7.777777777777779,30.0,22.22222222222222,37.0,27.407407407407405,46.5,34.44444444444444,0.17225431514433906,0.0028974539430358234,113.8962962962963,27.510572322227816,6.942369938395948,-5.456970912125346
