project_name,bug_number,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,93.75341796875,23226.75,0.2500430612222928,11.962515683814303,-2.80034504391468
black,3,9.7900550365448,45662.5,0.5000054750120451,0,-10
black,4,4539.681412220001,45262.0,0.5000883899765767,402.8941605839416,-2.0060407752328215
black,6,169262.10593223572,2825.25,0.0312610648844826,0.6664921465968586,-2.6664921465968585
black,7,14672.780691862106,1.0,1.1070641765103124e-05,0.0,8
black,8,18637.41338825226,30108.0,0.33333702379238955,0,-10
black,10,38684.765807151794,5.0,5.5399820504581564e-05,0.26905829596412556,4
black,11,118834.71238160133,30079.333333333332,0.33333702730956627,0,-10
black,14,37932.707665205,6922.153846153846,0.07692393174740625,0,-10
black,15,113452.8176958561,784.1130434782609,0.008706756129141896,10,-12
black,18,29421.612568616867,430.8333333333333,0.083884994807892,0.026928895612708018,-2.000302571860817
black,19,6064.00123167038,1493.0,0.333407771326485,0,-10
black,23,35329.5361802578,203.38888888888889,0.055570734669095324,0,-10
cookiecutter,1,2.074887990951538,764.0,0.5003274394237066,0,-10
cookiecutter,2,26.76218032836914,187.5,0.12508338892595064,0,-10
cookiecutter,3,18.29013729095459,731.0,0.5003422313483915,0,-10
cookiecutter,4,6.338956594467163,82.0909090909091,0.09100987704091917,0,-10
fastapi,1,205.24002027511597,39.14912280701754,0.008773895743392546,0,-10
fastapi,2,55.62518310546875,2227.5,0.5001122586439156,0,-10
fastapi,3,242.84236693382263,553.375,0.12502824220515138,0,-10
fastapi,4,2511.5323479175568,2207.5,0.5002266032177657,10,-12
fastapi,5,205.59823203086853,2208.5,0.5009072352007258,140.0,-7.0
fastapi,6,457.0858738422394,1.0,0.00022716946842344388,0.0,8.0
fastapi,7,60.436787843704224,1432.0,0.33341094295692664,0,-10
fastapi,9,4017.0252335071564,632.6666666666666,0.16671058410188844,0,-10
fastapi,10,113.7317590713501,1261.3333333333333,0.33342144682350866,0,-10
fastapi,11,143.00503993034363,1254.0,0.33342196224408405,0,-10
fastapi,12,35.077723026275635,714.8,0.2005049088359046,10.055172413793104,-2.0551724137931036
fastapi,14,1623.813777923584,661.5,0.2500945179584121,0,-10
fastapi,16,13.46517539024353,211.5,0.0833661805281829,0,-10
httpie,2,192.34046244621277,914.3333333333334,0.3334548991004133,0,-10
httpie,3,26.51479935646057,904.6666666666666,0.33345619855019043,0,-10
httpie,4,220.40973734855652,1.0,0.00038955979742890534,0.0,8
httpie,5,26.653422117233276,75.5,0.1252072968490879,0,-10
keras,1,627.9061393737793,2018.157894736842,0.05265767089539326,0.0019646365422396855,-2.0019646365422394
