project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,cumulative_distance2,sv_comp_overall_score
black,1,Statement,Tarantula,0,0,0,0.0,132.3571379184723,8.5,1,9.150509737218891e-05,9.150509737218891e-05,3148,11.540464240903388,2.351092639063153,-3.3474592220828105
black,3,Statement,Tarantula,0,0,0,0.0,104.21208119392395,46853.5,0,0.5130469537032981,-1,2382,23.36194563662375,3.895708154506438,-3.0340963280877444
black,4,Statement,Tarantula,0,0,0,0.0,68.4707555770874,239.0,1,0.0026406505502276044,0.0026406505502276044,2254,8.625094387113013,1.1523677681492934,-3.1523677681492934
black,6,Statement,Tarantula,0,1,1,0.11206574523720583,58.77962040901184,29.5,1,0.00032641409223687707,0.00032641409223687707,2184,19.840575916230364,4.6357984293193715,-3.326701570680628
black,7,Statement,Tarantula,0,1,1,0.11876484560570072,64.7829794883728,194.0,1,0.002147704502430006,0.002147704502430006,2162,11.288865267074144,1.507668653430014,-3.507668653430014
black,8,Statement,Tarantula,0,1,1,0.7784431137724551,46.83869695663452,36.0,1,0.0003985695780698161,0.0003985695780698161,2159,5.942625133120341,2.4492811501597442,-3.3129659211927582
black,10,Statement,Tarantula,0,1,1,1.0344827586206897,62.782360315322876,1.0,1,1.1079964100916312e-05,1.1079964100916312e-05,2125,1.0,1.0,-3.0
black,11,Statement,Tarantula,0,1,1,0.12526096033402923,56.28782558441162,711.3333333333334,1,0.00788294528113006,0.00788294528113006,2115,10.028618152085038,1.3396994120624537,-3.339699412062454
black,14,Statement,Tarantula,1,1,1,5.742574257425743,52.5775830745697,1.0,1,1.1112716281240624e-05,1.1112716281240624e-05,1980,1.0,1.0,-3.0
black,15,Statement,Tarantula,0,1,1,5.055368319691863,61.06019687652588,1.0,1,1.1103955228852518e-05,1.1103955228852518e-05,2021,1.0,1.0,-3.0
black,18,Statement,Tarantula,0,0,1,0.15467904098994587,49.46785068511963,1.5,1,0.0002920560747663551,0.0002920560747663551,1860,1.5,1.0001512859304085,-3.0001512859304085
black,19,Statement,Tarantula,0,0,1,0.20352781546811397,33.047914028167725,18.0,1,0.00401965163019205,0.00401965163019205,1479,9.058171745152354,1.2114590988750071,-3.2114590988750074
black,23,Statement,Tarantula,0,1,1,0.06711409395973154,14.277763605117798,147.0,1,0.04016393442622951,0.04016393442622951,1012,7.611870727159727,1.0196661635443487,-3.0196661635443487
cookiecutter,1,Statement,Tarantula,1,0,0,0.0,14.507770538330078,3.0,1,0.0019646365422396855,0.0019646365422396855,239,4.005263157894737,2.008771929824561,-3.0052631578947366
cookiecutter,2,Statement,Tarantula,0,1,1,5.555555555555555,2.641118288040161,1.0,1,0.00066711140760507,0.00066711140760507,95,1.0,1.0,-3.0
cookiecutter,3,Statement,Tarantula,0,0,0,0.0,8.216080665588379,6.5,1,0.004449007529089665,0.004449007529089665,205,6.5,1.0278925619834711,-3.027892561983471
cookiecutter,4,Statement,Tarantula,0,1,0,0.0,9.38987398147583,29.25,1,0.03242793791574279,0.03242793791574279,98,17.5,5.0,-7.0
fastapi,1,Statement,Tarantula,0,1,1,16.129032258064516,40.023441553115845,4.666666666666666,1,0.0010458688181682353,0.0010458688181682353,1250,4.666666666666666,1.0174165457184325,-3.0174165457184325
fastapi,2,Statement,Tarantula,0,0,0,0.0,7.2961249351501465,2551.0,0,0.5727436012572968,-1,647,106.47325933400606,12.266846058975222,-4.266846058975221
fastapi,3,Statement,Tarantula,1,1,1,5.172413793103448,12.749234676361084,3.5,1,0.0007907817442385902,0.0007907817442385902,660,3.5,1.0053759190449836,-3.0053759190449836
