project_name,bug_number,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,9860.772542476654,23249.25,0.2502852805976898,19.08108531994981,-2.404720828105395
black,3,2934.713768720627,45665.0,0.5000328500722702,4.485455412494039,-2.0343347639484977
black,4,36802.90059328079,45413.5,0.5017622751579971,187.05789076264787,-2.002013591744274
black,6,60647.180084228516,158.5,0.0017537841904930512,21.56107329842932,-2.074083769633508
black,7,38467.157809495926,7.0,7.749449235572187e-05,1.871866418637612,-2.0914164230667023
black,8,40048.151502370834,1.5,1.6607065752909003e-05,0.4696485623003195,2.843450479233227
black,10,36411.9872405529,1.6666666666666665,1.846660683486052e-05,3.7769058295964126,1.7410313901345287
black,11,55316.58390331268,171.0,0.0018950098075068986,9.219542109566639,-2.2308530934859636
black,14,11397.33365225792,2.4,2.6670519074977497e-05,0.003417829678154372,1.6352243598042517
black,15,37823.36705946922,1.0769230769230769,1.1958105631071942e-05,0.0004268761205498164,7.2303423546486805
black,18,23721.572602033615,223.5,0.04351635514018692,155.27382753403936,-2.006051437216339
black,19,14800.312005281448,5.0,0.0011165698972755694,1.0377522754254056,-2.0015829046299958
black,23,7935.155114650726,276.0,0.07540983606557378,5.115599751398384,-2.065257924176507
cookiecutter,1,15.119228601455688,764.5,0.5006548788474132,0.005263157894736842,-2.0052631578947366
cookiecutter,2,138.67243552207947,5.666666666666667,0.0037802979764287306,27.952755905511808,-2.2992125984251963
cookiecutter,3,41.21637177467346,732.5,0.501368925393566,0.43595041322314043,-2.053719008264463
cookiecutter,4,10.85617208480835,83.0,0.09201773835920177,5,-7
fastapi,1,967.2091643810272,1.0,0.00022411474675033618,0.0,8
fastapi,2,1173.8808906078339,2238.5,0.5025819488100584,501.4858728557013,-3.2971745711402622
fastapi,3,1301.428593158722,2.666666666666667,0.0006025003765627354,12.873880487446778,-1.288503890764939
fastapi,4,457.368346452713,2245.0,0.5087242238839792,207.1916261886844,-5.767120476157899
fastapi,5,324.2960829734802,2229.5,0.5056702200045362,448.6842105263158,-10.157894736842104
fastapi,6,361.4668378829956,9.0,0.002044525215810995,239.16654032747115,-6.72657671315949
fastapi,7,323.9393322467804,1451.3333333333333,0.33791230112533954,513.9285714285714,-11.375
fastapi,9,427.9466383457184,686.8333333333334,0.18098375054896795,550.0,-12.0
fastapi,10,889.5487492084503,1283.3333333333333,0.33923693717508147,220.20525259284042,-2.003512880562061
fastapi,11,587.9990510940552,1286.6666666666667,0.34210759549765135,344.3397358943578,-8.260722470806504
fastapi,12,452.6882300376892,726.8,0.20387096774193547,496.4808777429467,-2.0068965517241377
fastapi,14,409.0861096382141,708.75,0.2679584120982987,343.75,-8.25
fastapi,16,14.806779384613037,1.0,0.00039416633819471815,0.0,8
httpie,2,664.7562539577484,39.5,0.014405543398978848,334.3698761555904,-7.95124716553288
httpie,3,612.1916303634644,13.0,0.004791743457427202,225.1315789473684,-7.0
httpie,4,696.679612159729,71.5,0.02785352551616673,312.361863488624,-7.608884073672807
httpie,5,609.3335168361664,8.0,0.013266998341625208,2.4999999999999996,1
keras,1,20474.759580373764,10.5,0.0002739654542608151,10.11996734059574,-1.6839994061926498
keras,3,55411.42900657654,5655.0,0.14767326474121273,510.9021058622651,-11.289129197495729
keras,5,108732.53878593445,18736.5,0.5007617062219372,241.15777886497062,-6.384686888454011
keras,6,26618.655654668808,18792.5,0.506932642766583,157.52970297029702,-7.0
keras,7,26873.766787290573,18845.0,0.5093518568571274,471.1401064773736,-3.7130434782608694
keras,10,1428.1467032432556,2.0,5.3921436467067486e-05,0.006600660066006601,1.3311331133113313
keras,14,1781.590609550476,1.5,4.1849175571241246e-05,15.0,-2.0
keras,17,2160.1674296855927,4.5,0.00012706121526993448,50.18750000000001,-5.768750000000001
keras,18,2745.791868209839,5070.142857142857,0.1432972374976784,76.90587967183227,-2.235870556061987
keras,20,124819.54414367676,1421.16,0.04013669227293267,2.789160759204208,-2.1930025154356274
keras,26,6982.627624511719,19555.5,0.5008708347206926,8.10398230088496,-2.1473451327433626
keras,31,3046.171303510666,12878.333333333334,0.33392971356462514,13.405919153031762,-2.2437439846005773
keras,33,136.22279143333435,1.0,2.6079019428869475e-05,0.0,8.0
