project_name,bug_number,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,132.3571379184723,8.5,9.150509737218891e-05,5.288190087829359,-2.3474592220828105
black,3,104.21208119392395,46853.5,0.5130469537032981,25.65426800190748,-2.0340963280877444
black,4,68.4707555770874,239.0,0.0026406505502276044,8.38022724821114,-2.1523677681492934
black,6,58.77962040901184,29.5,0.00032641409223687707,5.3552356020942415,-2.326701570680628
black,7,64.7829794883728,194.0,0.002147704502430006,27.92177593865077,-2.507668653430014
black,8,46.83869695663452,36.0,0.0003985695780698161,20.970865662558953,-2.3129659211927582
black,10,62.782360315322876,1.0,1.1079964100916312e-05,0.0,8
black,11,56.28782558441162,711.3333333333334,0.00788294528113006,20.362399252423785,-2.37022544095316
black,14,52.5775830745697,1.0,1.1112716281240624e-05,0.0,8.0
black,15,61.06019687652588,1.0,1.1103955228852518e-05,0.0,8.0
black,18,49.46785068511963,1.5,0.0002920560747663551,0.000453857791225416,2.999848714069592
black,19,33.047914028167725,18.0,0.00401965163019205,11.630250438125387,-2.2114590988750074
black,23,14.277763605117798,147.0,0.04016393442622951,1.0816389949391814,-2.0196661635443487
cookiecutter,1,14.507770538330078,3.0,0.0019646365422396855,0.02280701754385965,0.32982456140350846
cookiecutter,2,2.641118288040161,1.0,0.00066711140760507,0.0,8
cookiecutter,3,8.216080665588379,6.5,0.004449007529089665,0.5857438016528926,-1.1945592286501379
cookiecutter,4,9.38987398147583,29.25,0.03242793791574279,135.91343186446372,-7.0
fastapi,1,40.023441553115845,4.666666666666666,0.0010458688181682353,0.2612481857764876,-0.47895500725689377
fastapi,2,7.2961249351501465,2551.0,0.5727436012572968,162.00807265388497,-3.3779571700863325
fastapi,3,12.749234676361084,4.5,0.001016719385449616,0.052672147995889,-0.7552672147995889
fastapi,4,1.8506519794464111,121.0,0.027418989349648766,288.6995503729103,-7.207588958119305
fastapi,5,1.5185177326202393,2380.0,0.5398049444318439,447.17391304347825,-10.130434782608695
fastapi,6,1.0297150611877441,69.0,0.01567469332121763,287.5088889306945,-7.15444164346452
fastapi,7,2.0202980041503906,3.5,0.0008149010477299185,41.73913043478261,-4.507246376811594
fastapi,9,1.2646007537841797,831.8333333333334,0.21919191919191922,499.4959929470087,-11.081745326309248
fastapi,10,9.676014184951782,6.0,0.0015860428231562252,0.0827123695976155,-1.0948477751756442
fastapi,11,2.027017116546631,1369.3333333333333,0.36408756536382164,128.475935828877,-4.335926105979582
fastapi,12,3.7883567810058594,1.0,0.00028050490883590464,0.0,8.0
fastapi,14,6.0734312534332275,870.75,0.3292060491493384,379.61956521739137,-8.902173913043478
fastapi,16,0.7255284786224365,1.0,0.00039416633819471815,0.0,8
httpie,2,10.510277509689331,72.33333333333333,0.02637977145635789,370.6947398677782,-7
httpie,3,15.367119312286377,121.0,0.044600073719130114,275.0,-7.0
httpie,4,2.3080801963806152,269.5,0.10498636540708998,306.3650986559908,-7.551687160423219
httpie,5,8.386019468307495,4.0,0.006633499170812604,0.49833887043189373,5
keras,1,1049.5740146636963,10.0,0.00026091948024839533,13.226240819051858,-1
keras,3,184.52024579048157,94.25,0.0024612210790202122,536.0953653739472,-11.747188461344495
keras,5,334.0135052204132,67.5,0.0018040410519563823,259.67118176242076,-6.6466673481905545
keras,6,45.33613181114197,70.5,0.0019017560896657764,550.0,-12.0
keras,7,16.23026442527771,8.5,0.00022974214822422834,276.8514492753623,-2.614492753623188
keras,10,87.1016194820404,1.5,4.044107735030061e-05,0.0024752475247524753,2.9991749174917492
keras,14,26.784066915512085,1.5,4.1849175571241246e-05,15.0,-2.0
keras,17,29.182665824890137,4.5,0.00012706121526993448,10.3375,-1.3708333333333333
keras,18,28.64491105079651,19.5,0.0005511276920468034,94.95523630881425,-2.0006836827711942
keras,20,1174.6866481304169,21.363636363636363,0.0006033562009612619,75.62025101763908,-7.0
keras,26,32.99368643760681,22.0,0.000563481289859898,0.7652375949133999,-1.7813552712817238
keras,31,28.89354920387268,9.0,0.00023336617746201317,0.2665284667209594,-1.236692085585252
keras,33,6.845127820968628,1.6666666666666665,4.346503238144912e-05,0.010359116022099447,2.9965469613259668
keras,35,18.091214179992676,7.5,0.00019959548648073238,1.737232845894263,-1.333970753655793
keras,38,182.33350825309753,13.5,0.00036941768826619965,23.109331476323124,-3.008588672237697
keras,40,147.71782660484314,12.5,0.00035330695308083665,8.269836695485113,-2.1594620557156583
keras,41,16.664397478103638,1.6666666666666665,4.8118101067259477e-05,0.0031468531468531466,2.9989510489510485
keras,43,125.69938063621521,3.6666666666666665,0.00010640047203118501,0.7608695652173911,-0.07608695652173902
