technique,experiment_time_seconds,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score
Tarantula,654,14,12,37,31,53,44,67,55,0.044
Ochiai,654,14,12,37,31,53,44,67,55,0.044
DStar,654,13,11,36,30,52,43,67,55,0.044
Metallaxis,15900,9,7,28,23,33,27,42,35,0.175
Muse,15900,6,5,22,18,30,25,36,30,0.174
PS,10715,4,3,6,5,8,7,8,7,0.276
ST,2,0,0,5,4,6,5,15,12,0.226
