technique,experiment_time_seconds,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score
Tarantula,654,45,37,75,62,86,71,95,79,0.064
Ochiai,654,47,39,76,63,87,72,96,79,0.064
DStar,654,46,38,76,63,87,72,97,80,0.064
Metallaxis,15900,39,32,68,56,78,64,86,71,0.103
Muse,15900,32,26,57,47,70,58,78,64,0.105
PS,10715,11,9,15,12,16,13,17,14,0.375
ST,2,25,21,33,27,34,28,35,29,0.308
