technique,experiment_time_seconds,e_inspect,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,java_exam_score,cumulative_distance,sv_comp_overall_score
Tarantula,592.588052297706,66.73818407960198,49,36.56716417910448,82,61.19402985074627,96,71.64179104477611,105,78.35820895522389,0.06744066806663922,0.015648646275129314,,
Ochiai,592.588052297706,66.57649253731343,51,38.059701492537314,83,61.940298507462686,97,72.38805970149254,106,79.1044776119403,0.06738271296239824,0.015586518403382993,,
DStar,592.588052297706,66.46828358208955,50,37.3134328358209,83,61.940298507462686,97,72.38805970149254,107,79.8507462686567,0.06736856532033515,0.01557135213109137,,
Metallaxis,15734.046740474985,92.4877487562189,46,34.32835820895522,76,56.71641791044776,87,64.92537313432835,95,70.8955223880597,0.10779576742536888,0.013497065802816822,,
Muse,15734.046740474985,97.21586386250566,37,27.611940298507463,62,46.26865671641791,77,57.46268656716418,87,64.92537313432835,0.11032582194565506,0.016579132218438226,,
PS,9819.697055551544,621.9011767461393,11,8.208955223880597,17,12.686567164179104,18,13.432835820895523,20,14.925373134328357,0.4002804397176916,0.002537295786867146,,
ST,1.6051078625579378,453.58748626994895,29,21.641791044776117,36,26.865671641791046,37,27.611940298507463,39,29.1044776119403,0.33260465245979204,0.00448981826856575,,
SBFL,592.588052297706,66.59432006633499,50.0,37.3134328358209,82.66666666666667,61.69154228855721,96.66666666666667,72.13930348258707,106.0,79.1044776119403,0.06739731544979087,0.015602172269867891,,
MBFL,15734.046740474985,94.85180630936227,41.5,30.970149253731343,69.0,51.492537313432834,82.0,61.19402985074626,91.0,67.91044776119404,0.10906079468551197,0.015038099010627524,,
