project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score
black,1,Function,ST,0,0,0.6854918003082275,135.0,0.3341584158415842
black,3,Function,ST,0,0,0.6290433406829834,167.0,0.5015015015015015
black,4,Function,ST,0,0,0.5745937824249268,154.5,0.5016233766233766
black,6,Function,ST,0,1,1.1557211875915527,43.285714285714285,0.14333017975402082
black,7,Function,ST,0,1,0.6276981830596924,150.5,0.5016666666666667
black,8,Function,ST,0,1,0.5991418361663818,150.5,0.5016666666666667
black,10,Function,ST,0,1,0.942033052444458,148.0,0.5016949152542373
black,11,Function,ST,0,1,0.5091359615325928,147.5,0.5017006802721088
black,14,Function,ST,1,1,2.250056743621826,1.0,0.0035211267605633804
black,15,Function,ST,0,1,0.30411195755004883,13.952380952380953,0.047782126549249834
black,18,Function,ST,0,0,0.32663536071777344,70.0,0.25089605734767023
black,19,Function,ST,0,0,0.317777156829834,127.5,0.5019685039370079
black,23,Function,ST,0,1,0.29166126251220703,53.25,0.2511792452830189
cookiecutter,1,Function,ST,1,0,2.7894608974456787,1.0,0.01639344262295082
cookiecutter,2,Function,ST,0,1,0.7817788124084473,20.666666666666668,0.3387978142076503
cookiecutter,3,Function,ST,0,0,0.8879377841949463,29.0,0.5087719298245614
cookiecutter,4,Function,ST,0,1,0.3407151699066162,7.6,0.2054054054054054
fastapi,1,Function,ST,0,1,0.4048163890838623,4.696969696969697,0.030499803227075958
fastapi,2,Function,ST,0,0,0.47297072410583496,77.5,0.5032467532467533
fastapi,3,Function,ST,1,1,4.4210333824157715,1.0,0.006535947712418301
fastapi,4,Function,ST,0,0,0.42542433738708496,75.0,0.5033557046979866
fastapi,5,Function,ST,0,0,0.43041467666625977,73.5,0.5034246575342466
fastapi,6,Function,ST,0,1,0.4800584316253662,73.5,0.5034246575342466
fastapi,7,Function,ST,1,0,1.9613683223724365,1.0,0.006993006993006993
fastapi,9,Function,ST,0,1,0.43376779556274414,65.0,0.5038759689922481
fastapi,10,Function,ST,0,0,0.5058250427246094,65.0,0.5038759689922481
fastapi,11,Function,ST,1,0,1.3891072273254395,70.5,0.5465116279069767
fastapi,12,Function,ST,0,0,0.475421667098999,63.5,0.503968253968254
fastapi,14,Function,ST,0,0,0.4679243564605713,96,1.0
fastapi,16,Function,ST,1,1,0.38358402252197266,1.0,0.010869565217391304
httpie,2,Function,ST,0,1,0.9915053844451904,87.0,0.5028901734104047
httpie,3,Function,ST,1,0,2.016903877258301,1.0,0.005780346820809248
httpie,4,Function,ST,0,1,0.7479918003082275,83.0,0.503030303030303
httpie,5,Function,ST,0,1,0.6497330665588379,5.333333333333333,0.3555555555555555
keras,1,Function,ST,0,0,1.4024882316589355,191.5,0.10005224660397075
keras,3,Function,ST,1,0,1.2890193462371826,1.0,0.0005257623554153522
keras,5,Function,ST,0,0,1.2011098861694336,927.5,0.500269687162891
keras,6,Function,ST,0,0,1.4399430751800537,610.3333333333334,0.3335154826958106
keras,7,Function,ST,0,0,1.4985525608062744,908.0,0.5002754820936639
keras,10,Function,ST,1,1,1.2798466682434082,1.0,0.0005461496450027307
keras,14,Function,ST,1,0,2.484654664993286,2.0,0.0011661807580174927
keras,17,Function,ST,0,0,4.541854619979858,848.5,0.5002948113207547
keras,18,Function,ST,1,0,7.590097188949585,1.0,0.0005896226415094339
keras,20,Function,ST,1,1,5.159481525421143,171.6,0.10111962286387743
keras,26,Function,ST,1,0,5.395427942276001,1.0,0.0005780346820809249
keras,31,Function,ST,1,0,3.7847249507904053,3.0,0.0017241379310344827
keras,33,Function,ST,1,1,2.728904962539673,1.0,0.0005747126436781609
keras,35,Function,ST,1,1,2.8947038650512695,1.0,0.0005865102639296188
keras,38,Function,ST,1,0,11.044587135314941,1.0,0.0005938242280285036
keras,40,Function,ST,0,0,4.5120391845703125,825.5,0.5003030303030302
keras,41,Function,ST,0,1,4.322101831436157,235.57142857142858,0.14294382801664357
keras,43,Function,ST,0,0,4.216919660568237,822.5,0.5003041362530414
pandas,2,Function,ST,1,1,0.6233603954315186,1.5,0.00027110066871498283
pandas,12,Function,ST,1,0,2.4489145278930664,1.0,0.00017995321216483713
pandas,23,Function,ST,1,0,1.3557722568511963,2774.5,0.5001802776275465
pandas,43,Function,ST,0,1,0.4119851589202881,1388.0,0.25004503693028285
pandas,54,Function,ST,0,1,0.414872407913208,2772.0,0.5000902038607252
pandas,56,Function,ST,0,0,0.25489234924316406,2771.0,0.5000902364194189
pandas,68,Function,ST,1,0,0.8394172191619873,5529,1.0
pandas,72,Function,ST,1,1,1.8824265003204346,1.0,0.00018086453246518358
pandas,74,Function,ST,0,1,0.2429637908935547,2762.5,0.5000905141202028
pandas,77,Function,ST,1,0,0.28651928901672363,1.0,0.00018099547511312217
pandas,81,Function,ST,1,1,0.49903249740600586,2.0,0.0003630422944273008
pandas,84,Function,ST,1,0,1.7818858623504639,2.0,0.0003635041802980734
pandas,116,Function,ST,1,0,0.5455679893493652,2802.0,0.5005359056806002
pandas,137,Function,ST,1,1,3.345067024230957,1.0,0.00017834849295523454
pandas,141,Function,ST,1,0,0.8571794033050537,2795.0,0.5001789549033644
pandas,143,Function,ST,1,1,2.5879287719726562,2793.5,0.5001790510295434
pandas,146,Function,ST,1,1,0.5318596363067627,1.0,0.00017908309455587392
pandas,168,Function,ST,1,1,1.5494191646575928,2.0,0.00035106196243637
sanic,1,Function,ST,0,0,0.2945084571838379,399.5,0.5006265664160401
sanic,3,Function,ST,0,1,0.21820521354675293,402.5,0.5006218905472637
sanic,4,Function,ST,0,1,0.5681576728820801,390.0,0.5006418485237484
