project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,cumulative_distance,sv_comp_overall_score
black,1,Function,Tarantula,0,0,0,0.0,132.3571379184723,4.0,1,0.009900990099009901,0.009900990099009901,,
black,3,Function,Tarantula,0,0,0,0.0,104.21208119392395,100.5,1,0.30180180180180183,0.30180180180180183,,
black,4,Function,Tarantula,0,0,0,0.0,68.4707555770874,39.5,1,0.12824675324675325,0.12824675324675325,,
black,6,Function,Tarantula,0,1,1,0.11206574523720583,58.77962040901184,11.0,1,0.03642384105960265,0.03642384105960265,,
black,7,Function,Tarantula,0,1,1,0.11876484560570072,64.7829794883728,29.0,1,0.09666666666666666,0.09666666666666666,,
black,8,Function,Tarantula,0,1,1,0.7784431137724551,46.83869695663452,9.0,1,0.03,0.03,,
black,10,Function,Tarantula,0,1,1,1.0344827586206897,62.782360315322876,1.0,1,0.003389830508474576,0.003389830508474576,,
black,11,Function,Tarantula,0,1,1,0.12526096033402923,56.28782558441162,14.0,1,0.047619047619047616,0.047619047619047616,,
black,14,Function,Tarantula,1,1,1,5.742574257425743,52.5775830745697,1.0,1,0.0035211267605633804,0.0035211267605633804,,
black,15,Function,Tarantula,0,1,1,5.055368319691863,61.06019687652588,1.0,1,0.003424657534246575,0.003424657534246575,,
black,18,Function,Tarantula,0,0,1,0.15467904098994587,49.46785068511963,1.0,1,0.0035842293906810036,0.0035842293906810036,,
black,19,Function,Tarantula,0,0,1,0.20352781546811397,33.047914028167725,2.0,1,0.007874015748031496,0.007874015748031496,,
black,23,Function,Tarantula,0,1,1,0.06711409395973154,14.277763605117798,9.0,1,0.04245283018867924,0.04245283018867924,,
cookiecutter,1,Function,Tarantula,1,0,0,0.0,14.507770538330078,1.0,1,0.01639344262295082,0.01639344262295082,,
cookiecutter,2,Function,Tarantula,0,1,1,5.555555555555555,2.641118288040161,1.0,1,0.01639344262295082,0.01639344262295082,,
cookiecutter,3,Function,Tarantula,0,0,0,0.0,8.216080665588379,1.0,1,0.017543859649122806,0.017543859649122806,,
cookiecutter,4,Function,Tarantula,0,1,0,0.0,9.38987398147583,3.75,1,0.10135135135135136,0.10135135135135136,,
fastapi,1,Function,Tarantula,0,1,1,16.129032258064516,40.023441553115845,1.0,1,0.006493506493506494,0.006493506493506494,,
fastapi,2,Function,Tarantula,0,0,0,0.0,7.2961249351501465,100.0,0,0.6493506493506493,-1,,
fastapi,3,Function,Tarantula,1,1,1,5.172413793103448,12.749234676361084,1.0,1,0.006535947712418301,0.006535947712418301,,
fastapi,4,Function,Tarantula,0,0,0,0.0,1.8506519794464111,8.5,1,0.05704697986577181,0.05704697986577181,,
fastapi,5,Function,Tarantula,0,0,0,0.0,1.5185177326202393,84.5,0,0.5787671232876712,-1,,
fastapi,6,Function,Tarantula,0,1,1,1.8518518518518516,1.0297150611877441,5.0,1,0.03424657534246575,0.03424657534246575,,
fastapi,7,Function,Tarantula,1,0,0,0.0,2.0202980041503906,2.5,1,0.017482517482517484,0.017482517482517484,,
fastapi,9,Function,Tarantula,0,1,0,0.0,1.2646007537841797,73.5,0,0.5697674418604651,-1,,
fastapi,10,Function,Tarantula,0,0,0,0.0,9.676014184951782,1.0,1,0.007751937984496124,0.007751937984496124,,
fastapi,11,Function,Tarantula,1,0,0,0.0,2.027017116546631,74.5,0,0.5775193798449613,-1,,
fastapi,12,Function,Tarantula,0,0,0,0.0,3.7883567810058594,1.0,1,0.007936507936507936,0.007936507936507936,,
fastapi,14,Function,Tarantula,0,0,0,0.0,6.0734312534332275,96,0,1.0,-1,,
fastapi,16,Function,Tarantula,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.010869565217391304,0.010869565217391304,,
httpie,2,Function,Tarantula,0,1,1,1.6194331983805668,10.510277509689331,20.5,1,0.11849710982658959,0.11849710982658959,,
httpie,3,Function,Tarantula,1,0,1,0.47393364928909953,15.367119312286377,12.0,1,0.06936416184971098,0.06936416184971098,,
httpie,4,Function,Tarantula,0,1,1,0.2785515320334262,2.3080801963806152,29.0,1,0.17575757575757575,0.17575757575757575,,
httpie,5,Function,Tarantula,0,1,1,27.173913043478258,8.386019468307495,2.0,1,0.13333333333333333,0.13333333333333333,,
keras,1,Function,Tarantula,0,0,1,2.941176470588235,1049.5740146636963,1.0,1,0.0005224660397074191,0.0005224660397074191,,
keras,3,Function,Tarantula,1,0,0,0.0,184.52024579048157,6.5,1,0.0034174553101997897,0.0034174553101997897,,
keras,5,Function,Tarantula,0,0,0,0.0,334.0135052204132,4.5,1,0.0024271844660194173,0.0024271844660194173,,
keras,6,Function,Tarantula,0,0,0,0.0,45.33613181114197,20.0,1,0.01092896174863388,0.01092896174863388,,
keras,7,Function,Tarantula,0,0,0,0.0,16.23026442527771,7.5,1,0.004132231404958678,0.004132231404958678,,
keras,10,Function,Tarantula,1,1,1,25.0,87.1016194820404,1.0,1,0.0005461496450027307,0.0005461496450027307,,
keras,14,Function,Tarantula,1,0,1,45.45454545454545,26.784066915512085,1.5,1,0.0008746355685131195,0.0008746355685131195,,
keras,17,Function,Tarantula,0,0,1,9.615384615384617,29.182665824890137,2.5,1,0.001474056603773585,0.001474056603773585,,
keras,18,Function,Tarantula,1,0,0,0.0,28.64491105079651,1.0,1,0.0005896226415094339,0.0005896226415094339,,
keras,20,Function,Tarantula,1,1,0,0.0,1174.6866481304169,3.0,1,0.0017678255745433118,0.0017678255745433118,,
