technique,experiment_time_seconds,e_inspect,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,java_exam_score,output_length,cumulative_distance,sv_comp_overall_score
Tarantula,5.885042876005173,2.95,2,12.5,11,68.75,15,93.75,16,100.0,0.001020268924068252,0.001020268924068252,51.25,,
Ochiai,5.885042876005173,2.720833333333333,2,12.5,11,68.75,15,93.75,16,100.0,0.0009295811096043357,0.0009295811096043357,51.25,,
DStar,5.885042876005173,2.720833333333333,2,12.5,11,68.75,15,93.75,16,100.0,0.0009295811096043357,0.0009295811096043357,51.25,,
Metallaxis,72.83934625983238,581.4791666666667,4,25.0,7,43.75,7,43.75,8,50.0,0.18850138057650465,0.0007931113783983036,5.5,,
Muse,72.83934625983238,581.8645833333333,2,12.5,6,37.5,7,43.75,8,50.0,0.18861495663084465,0.001020263487078346,5.5,,
PS,48.830794125795364,877.988162878788,0,0.0,0,0.0,0,0.0,0,0.0,0.29225032818281654,,0.0,,
ST,0.9525567293167114,728.7277462121214,0,0.0,1,6.25,1,6.25,2,12.5,0.2559240250764874,0.0011272286708232642,4.75,,
SBFL,5.885042876005173,2.797222222222222,2.0,12.5,11.0,68.75,15.0,93.75,16.0,100.0,0.0009598103810923077,0.0009598103810923077,51.25,,
MBFL,72.83934625983238,581.671875,3.0,18.75,6.5,40.625,7.0,43.75,8.0,50.0,0.18855816860367464,0.0009066874327383248,5.5,,
