technique,experiment_time_seconds,e_inspect,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,java_exam_score,output_length,cumulative_distance,sv_comp_overall_score
Tarantula,9.142874121665955,116.70833333333333,0,0.0,0,0.0,1,25.0,1,25.0,0.04564992743834765,0.04564992743834765,494.25,,
Ochiai,9.142874121665955,116.70833333333333,0,0.0,0,0.0,1,25.0,1,25.0,0.04564992743834765,0.04564992743834765,494.25,,
DStar,9.142874121665955,116.70833333333333,0,0.0,0,0.0,1,25.0,1,25.0,0.04564992743834765,0.04564992743834765,494.25,,
Metallaxis,645.740253329277,33.0,0,0.0,0,0.0,0,0.0,1,25.0,0.015079452678549498,0.015079452678549498,92.25,,
Muse,645.740253329277,16.25,1,25.0,3,75.0,3,75.0,3,75.0,0.006264130940775464,0.006264130940775464,92.25,,
PS,116.47960531711578,473.875,1,25.0,1,25.0,1,25.0,1,25.0,0.19812698857428016,0.00038955979742890534,0.75,,
ST,1.1015335321426392,570.0416666666667,0,0.0,0,0.0,0,0.0,1,25.0,0.24029785374212517,0.0023344391202850473,55.75,,
SBFL,9.142874121665955,116.70833333333333,0.0,0.0,0.0,0.0,1.0,25.0,1.0,25.0,0.04564992743834765,0.04564992743834765,494.25,,
MBFL,645.740253329277,24.625,0.5,12.5,1.5,37.5,1.5,37.5,2.0,50.0,0.010671791809662481,0.010671791809662481,92.25,,
