project_name,bug_number,cumulative_distance,sv_comp_overall_score
black,1,15.788895859473026,-2.0114491844416564
black,3,7.641869337148306,-2.0343347639484977
black,4,0.3128618172665492,-2.002013591744274
black,6,3.652748691099476,-2.074083769633508
black,7,5.22681371246346,-2.0914164230667023
black,8,8.76797124600639,1
black,10,0.01195814648729447,4.654708520179372
black,11,13.034932315799038,-2.2308530934859636
black,14,0.003417829678154372,1.6352243598042517
black,15,0.0,8.0
black,18,0.08108925869894101,-2.006051437216339
black,19,0.008178340588312887,0.33201424614166974
black,23,1.863269111249223,-2.065257924176507
cookiecutter,1,0.005263157894736842,-2.0052631578947366
cookiecutter,2,12.429133858267717,0.0
cookiecutter,3,0.43595041322314043,-2.053719008264463
cookiecutter,4,5,-7
fastapi,1,0.0,8
fastapi,2,550.0,-12
fastapi,3,542.5,-9.5
fastapi,4,550.0,-12
fastapi,5,550.0,-12.0
fastapi,6,7.909793814432988,-2.115335051546392
fastapi,7,537.5,-10.75
fastapi,9,550.0,-12.0
fastapi,10,52.36416861826698,-2.003512880562061
fastapi,11,344.3397358943578,-8.260722470806504
fastapi,12,520.1172413793104,-2.0068965517241377
fastapi,14,550.0,-12.0
fastapi,16,0.0,8
httpie,2,41.58201058201058,-2.5238095238095237
httpie,3,275.0,-7.0
httpie,4,316.7746820109025,-7.680799515445186
httpie,5,0.11960132890365449,6
keras,1,15.064099710661027,-2.2738927220120186
keras,3,550.0,-12
keras,5,182.01777907315653,-5.309414164966482
keras,6,275.0,-7
keras,7,550.0,-12
keras,10,0.006600660066006601,1.3311331133113313
keras,14,150.0,3
keras,17,550.0,-12.0
keras,18,12.64972652689152,-2.0077484047402008
keras,20,2.7635490509947407,-2.1930025154356274
keras,26,26.59365227227361,-2.4231485794131347
keras,31,49.68358999037536,-2.903031761308951
keras,33,0.0,8.0
keras,35,0.6224409448818897,-2.010236220472441
keras,38,550.0,-12
keras,40,0.0,8
keras,41,0.004195804195804196,2.998601398601399
keras,43,0.8369565217391304,-2.108695652173913
pandas,2,0.005635023840485479,7
pandas,12,550.0,-12
pandas,23,1.7767393561786087,-2.09865005192108
pandas,43,550.0,-12
pandas,54,0.03076923076923077,-2.005128205128205
pandas,56,550.0,-12.0
pandas,68,39.60765191297824,-5.38909727431858
pandas,72,550.0,-12.0
pandas,74,550.0,-12
pandas,77,340.25,-7.011904761904762
pandas,81,415.0,-12.0
pandas,84,550.0,-12
pandas,116,550.0,-12.0
pandas,137,550.0,-12
pandas,141,550.0,-12
pandas,143,550.0,-12.0
pandas,146,0.03565365025466893,1.994057724957555
pandas,168,550.0,-12.0
sanic,1,20.435674547983304,-2.2312239221140473
sanic,3,0.33201634877384195,-2.0088555858310624
sanic,4,275.0,-7
spacy,1,0,-10
spacy,2,275.0,-7
spacy,3,0.015985790408525755,-2.0017761989342806
spacy,4,0.0,8
spacy,5,14.741015717557854,-2.002606429192007
spacy,6,275.0,-7.0
thefuck,2,1.4658753709198815,-2.0148367952522257
thefuck,3,0,-10
thefuck,4,0.0,8.0
thefuck,6,0.0,8
thefuck,7,550.0,-12.0
thefuck,8,45.2625,-7.0875
thefuck,13,520.1304347826087,-2.0434782608695654
thefuck,14,0.0,8
thefuck,15,0.0,8
thefuck,17,0.5816326530612245,5
thefuck,19,210.0,-12
thefuck,20,0.0,8
thefuck,25,10,-12
thefuck,26,0.11538461538461539,2.9615384615384617
thefuck,28,0.0,8
thefuck,29,5,-7
tornado,1,275.0,-7.0
tornado,5,0.11222403924775143,0.9993867538838916
tornado,6,6.82312091503268,-2.0841503267973858
tornado,8,275.0,-7.0
tqdm,4,22.281266552880933,-2.37796480489671
tqdm,5,15.951051779935277,-2.085760517799353
tqdm,6,60.83218344155844,-2.0016233766233764
tqdm,7,18.009708737864077,-2.327449249779347
tqdm,8,2.047008547008547,-2.0440705128205128
tqdm,9,0.001092896174863388,4.665573770491803
youtube-dl,1,0.0055312580396192435,1.3314895806534603
youtube-dl,2,4.002753737214791,-1.427616050354052
youtube-dl,6,0.0005900865460267506,2.999803304484658
youtube-dl,7,0.010649627263045792,-0.3343982960596381
youtube-dl,13,0.0057644110275689225,-0.6671679197994984
youtube-dl,15,0.2503898128898129,-2.005977130977131
youtube-dl,17,0.001176778242677824,0.4996077405857742
youtube-dl,18,11.737839001291434,-2.1975893241498063
youtube-dl,20,1.2651673640167365,-2.0047071129707112
youtube-dl,21,0.00018299935950224174,4.666483667307165
youtube-dl,24,275.0,-7
youtube-dl,25,0.04124275595621378,-1.0019639407598198
youtube-dl,31,0.005657708628005658,0.8561999057048566
youtube-dl,34,0.337705918242831,-2.0090756558877363
youtube-dl,41,0.1636661211129296,-2.01582105837425
youtube-dl,43,0.0054894784995425435,-2.001829826166514
