project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
sanic,1,Statement,ST,0,0,-1,6643.0,0.5000376364320662,0,-10
sanic,3,Statement,ST,0,1,-1,3401.5,0.2500183755972069,0,-10
sanic,4,Statement,ST,0,1,-1,4568.333333333333,0.33335765713173765,0,-10
spacy,1,Statement,ST,0,0,-1,35348.666666666664,0.3333364766529932,0,-10
spacy,2,Statement,ST,0,0,-1,35298.666666666664,0.3333364811054976,0,-10
spacy,3,Statement,ST,0,0,-1,35647.0,0.3333364503459884,0,-10
spacy,4,Statement,ST,1,0,-1,15.5,0.0001543640202366251,2.9515366430260053,-1.7203309692671396
spacy,5,Statement,ST,1,0,-1,30.0,0.0003006584419879536,16.604861096395496,-2.3666377063423107
spacy,6,Statement,ST,0,1,-1,24888.75,0.25000251119995176,0,-10
thefuck,2,Statement,ST,0,0,-1,2172.0,0.500115127791849,0,-10
thefuck,3,Statement,ST,0,0,-1,1432.6666666666667,0.3334109068342255,0,-10
thefuck,4,Statement,ST,1,0,-1,2.75,0.0006652152878567972,0.08495575221238938,0.9858407079646021
thefuck,6,Statement,ST,1,0,-1,6.5,0.001589242053789731,2.697916666666667,-1.2951388888888888
thefuck,7,Statement,ST,0,0,-1,1317.3333333333333,0.3334177001602969,0,-10
thefuck,8,Statement,ST,0,0,-1,1270.0,0.33342084536623784,0,-10
thefuck,13,Statement,ST,0,0,-1,439.3333333333333,0.16672991777356103,0,-10
thefuck,14,Statement,ST,0,1,-1,424.6666666666667,0.16673210312786285,0,-10
thefuck,15,Statement,ST,0,0,-1,505.6,0.2000791452314998,0,-10
thefuck,17,Statement,ST,0,0,-1,222.72727272727272,0.09094621181187126,0,-10
thefuck,19,Statement,ST,0,0,-1,1122.5,0.500222816399287,0,-10
thefuck,20,Statement,ST,0,0,-1,446.4,0.20008964589870012,0,-10
thefuck,25,Statement,ST,0,0,-1,909.5,0.5002750275027503,0,-10
thefuck,26,Statement,ST,0,0,-1,608.3333333333334,0.33351608187134507,0,-10
thefuck,28,Statement,ST,0,0,-1,180.0,0.1000555864369094,0,-10
thefuck,29,Statement,ST,0,0,-1,599.3333333333334,0.3335188276757559,0,-10
tornado,1,Statement,ST,0,0,-1,5887.0,0.33335220838052093,0,-10
tornado,5,Statement,ST,0,1,-1,6028.333333333333,0.33335176583351767,0,-10
tornado,6,Statement,ST,0,0,-1,3010.6666666666665,0.16667589363154883,0,-10
tornado,8,Statement,ST,0,0,-1,5821.666666666667,0.33335242021682704,0,-10
tqdm,4,Statement,ST,1,0,-1,100.5,0.04962962962962963,2.274904361132364,-1.991361897475134
tqdm,5,Statement,ST,1,1,-1,197.8,0.10238095238095239,1.1771844660194177,-2.0784789644012944
tqdm,6,Statement,ST,1,0,-1,3.0,0.0015923566878980893,0.00974025974025974,-0.0016233766233768598
tqdm,7,Statement,ST,1,0,-1,958.0,0.5249315068493151,18.555825242718445,-2.337378640776699
tqdm,8,Statement,ST,0,0,-1,567.0,0.500441306266549,0,-10
tqdm,9,Statement,ST,1,1,-1,1.5,0.002798507462686567,0.0024590163934426227,2.999180327868852
youtube-dl,1,Statement,ST,0,0,-1,36203.333333333336,0.3333364024466972,0,-10
youtube-dl,2,Statement,ST,0,0,-1,9571.818181818182,0.09090995433348385,0,-10
youtube-dl,6,Statement,ST,0,1,-1,10854.5,0.16666922580843288,0,-10
youtube-dl,7,Statement,ST,0,1,-1,20927.666666666668,0.33333864271075575,0,-10
youtube-dl,13,Statement,ST,0,1,-1,57411.0,0.500004354604123,0,-10
youtube-dl,15,Statement,ST,0,0,-1,53015.0,0.5000047156909903,0,-10
youtube-dl,17,Statement,ST,1,0,-1,2.333333333333333,2.2948035812049027e-05,0.0009152719665271967,1.3330282426778246
youtube-dl,18,Statement,ST,0,0,-1,50522.5,0.5000049483393373,0,-10
youtube-dl,20,Statement,ST,0,0,-1,33449.333333333336,0.33333665513999755,0,-10
youtube-dl,21,Statement,ST,0,1,-1,32037.333333333332,0.3333368015454353,0,-10
youtube-dl,24,Statement,ST,0,1,-1,22308.25,0.250002801685494,0,-10
youtube-dl,25,Statement,ST,0,0,-1,21072.5,0.25000296598607175,0,-10
youtube-dl,31,Statement,ST,0,1,-1,3655.909090909091,0.0909113515419777,0,-10
youtube-dl,34,Statement,ST,0,1,-1,9118.5,0.2500068543854358,0,-10
youtube-dl,41,Statement,ST,0,0,-1,6835.0,0.33334959032383926,0,-10
youtube-dl,43,Statement,ST,0,0,-1,8536.5,0.5000292877225867,0,-10
