technique,cumulative_distance,sv_comp_overall_score
Tarantula,162.16580956582237,-2.686915567553862
Ochiai,151.3738553453127,-2.463252049466209
DStar,153.54910769132735,-2.5831430005064773
Metallaxis,152.03630256402909,-3.1338932926473166
Muse,158.22462322155917,-4.032613482403824
PS,10.140957507240913,-8.255549089351556
ST,37.1217486550082,-7.686258255938228
