technique,experiment_time_seconds,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,cumulative_distance,sv_comp_overall_score
Tarantula,-1,15,12,34,28,41,34,55,45,0.047,162.16580956582237,-2.686915567553862
Ochiai,-1,15,12,35,29,42,35,56,46,0.046,151.3738553453127,-2.463252049466209
DStar,-1,14,12,34,28,41,34,55,45,0.047,153.54910769132735,-2.5831430005064773
Metallaxis,-1,12,10,27,22,31,26,37,31,0.174,152.03630256402909,-3.1338932926473166
Muse,-1,6,5,20,17,28,23,34,28,0.174,158.22462322155917,-4.032613482403824
PS,-1,4,3,5,4,8,7,8,7,0.276,10.184018793118751,-8.19794815791885
ST,-1,0,0,5,4,6,5,15,12,0.226,37.1217486550082,-7.686258255938228
