technique,experiment_time_seconds,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,cumulative_distance,sv_comp_overall_score
Tarantula,654,71,59,101,83,110,91,118,98,0.044,Not applicable,Not applicable
Ochiai,654,73,60,104,86,112,93,118,98,0.043,Not applicable,Not applicable
DStar,654,73,60,104,86,112,93,118,98,0.043,Not applicable,Not applicable
Metallaxis,15900,66,55,98,81,104,86,110,91,0.078,Not applicable,Not applicable
Muse,15900,56,46,91,75,101,83,104,86,0.086,Not applicable,Not applicable
PS,10715,16,13,21,17,26,21,35,29,0.415,Not applicable,Not applicable
ST,2,32,26,36,30,40,33,47,39,0.349,Not applicable,Not applicable
