project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
luigi,28,Module,Tarantula,0,0,1,33.33333333333333,3.7732553482055664,1.0,1,0.013513513513513514,,
luigi,29,Module,Tarantula,1,1,1,19.565217391304348,4.152209997177124,1.0,1,0.013513513513513514,,
luigi,30,Module,Tarantula,0,1,1,1.3050570962479608,34.18578243255615,2.0,1,0.02702702702702703,,
luigi,31,Module,Tarantula,0,0,1,0.2890173410404624,45.113813638687134,1.0,1,0.013513513513513514,,
luigi,32,Module,Tarantula,1,0,0,0.0,4.5186767578125,1.0,1,0.013513513513513514,,
pandas,2,Module,Tarantula,1,1,1,0.6765899864682002,1341.9947276115417,1.5,1,0.00641025641025641,,
pandas,12,Module,Tarantula,1,0,1,0.1620745542949757,2552.903843164444,10.0,1,0.04310344827586207,,
pandas,23,Module,Tarantula,1,0,0,0.0,49.26249623298645,6.0,1,0.025974025974025976,,
pandas,43,Module,Tarantula,0,1,1,0.23134759976865238,85.88211822509766,11.0,1,0.048458149779735685,,
pandas,54,Module,Tarantula,0,1,0,0.0,25445.52511405945,1.0,1,0.004405286343612335,,
pandas,56,Module,Tarantula,0,0,0,0.0,1699.1994307041168,15.0,1,0.06607929515418502,,
pandas,68,Module,Tarantula,1,0,0,0.0,23.321685075759888,3.0,1,0.01327433628318584,,
pandas,72,Module,Tarantula,1,1,1,1.6006739679865205,15.268394708633423,2.5,1,0.011061946902654867,,
pandas,74,Module,Tarantula,0,1,1,0.3546099290780142,134.1193699836731,4.0,1,0.017699115044247787,,
pandas,77,Module,Tarantula,1,0,0,0.0,0.4080839157104492,2.5,1,0.011061946902654867,,
pandas,81,Module,Tarantula,1,1,1,2.1505376344086025,23140.768271684647,6.0,1,0.02654867256637168,,
pandas,84,Module,Tarantula,1,0,0,0.0,42.223748207092285,2.0,1,0.008928571428571428,,
pandas,116,Module,Tarantula,1,0,0,0.0,2121.0391430854797,6.5,1,0.02968036529680365,,
pandas,137,Module,Tarantula,1,1,1,0.1282051282051282,3366.506372451782,6.5,1,0.029545454545454545,,
pandas,141,Module,Tarantula,1,0,1,6.2645011600928076,46.401092290878296,5.0,1,0.0228310502283105,,
pandas,143,Module,Tarantula,1,1,1,0.49261083743842365,2166.20321059227,7.0,1,0.0319634703196347,,
pandas,146,Module,Tarantula,1,1,1,19.047619047619047,48.27202129364014,1.0,1,0.004651162790697674,,
pandas,168,Module,Tarantula,1,1,0,0.0,6296.336213111877,1.0,1,0.004761904761904762,,
sanic,1,Module,Tarantula,0,0,0,0.0,293.60652709007263,1.0,1,0.011494252873563218,,
sanic,3,Module,Tarantula,0,1,1,5.88235294117647,284.4683532714844,1.5,1,0.017241379310344827,,
sanic,4,Module,Tarantula,0,1,1,0.2004008016032064,47.88449215888977,4.5,1,0.052941176470588235,,
spacy,1,Module,Tarantula,0,0,0,0,3.3847854137420654,1.0,1,0.0022727272727272726,,
spacy,2,Module,Tarantula,0,0,0,0.0,275.0050346851349,2.5,1,0.0056947608200455585,,
spacy,3,Module,Tarantula,0,0,0,0.0,6.040996313095093,1.0,1,0.0022624434389140274,,
