technique,experiment_time_seconds,e_inspect,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,java_exam_score,cumulative_distance,sv_comp_overall_score
AvgAlfa,-1.0,1.8580246913580245,95,70.37037037037037,120,88.88888888888889,126,93.33333333333333,133,98.51851851851852,0.03858549430871499,0.03384424394177811,,
AvgSbst,-1.0,2.028395061728395,86,63.70370370370371,117,86.66666666666667,125,92.5925925925926,132,97.77777777777777,0.04098960206373947,0.03626629279945203,,
AVG,-1.0,1.9432098765432098,90.5,67.03703703703704,118.5,87.77777777777777,125.5,92.96296296296296,132.5,98.14814814814815,0.039787548186227234,0.03505526837061507,,
