technique,cumulative_distance,sv_comp_overall_score
Tarantula,122.81083443293991,-1.9635069243441183
Ochiai,116.35553590578351,-1.7097186900735384
DStar,117.65268907824444,-1.8296096411138068
Metallaxis,145.6958113954966,-3.069621676617759
Muse,158.44483207901956,-3.887586748529066
PS,10.140957507240913,-8.255549089351556
ST,37.1217486550082,-7.686258255938228
