technique,experiment_time_seconds,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score
Tarantula,-1,15,12,39,32,51,42,63,52,0.045
Ochiai,-1,15,12,39,32,50,41,64,53,0.045
DStar,-1,14,12,38,31,49,40,63,52,0.045
Metallaxis,-1,11,9,26,21,30,25,37,31,0.175
Muse,-1,6,5,21,17,29,24,36,30,0.174
PS,-1,4,3,5,4,8,7,8,7,0.276
ST,-1,0,0,5,4,6,5,15,12,0.226
