project_name,bug_number,cumulative_distance,sv_comp_overall_score
black,1,15.817126725219573,-2.0114491844416564
black,3,5.27110157367668,-2.3514067715784455
black,4,12.20765164862824,-2.306065945129625
black,6,53.264569669712664,-2.922221759788304
black,7,0.004251926654265214,5
black,8,176.6809699548344,-5.188514923457393
black,10,0.0,8
black,11,132.58930602155996,-4.393473275627109
black,14,436.00465964112783,-9.447357448020508
black,15,150.39064213415568,-4.17549307600116
black,18,5.2,-2.004841149773071
black,19,7.087455480807283,-2.0138504155124655
black,23,1.5605966438781855,-2.0205096333126162
cookiecutter,1,0.005263157894736842,-2.0052631578947366
cookiecutter,2,34.18700787401575,-2.3779527559055116
cookiecutter,3,0.4132231404958677,-2.0688705234159777
cookiecutter,4,5,-7
fastapi,1,0.7044025157232705,-0.9224318658280923
fastapi,2,488.9858728557013,-10.890652233740024
fastapi,3,27.03884892086331,-2.011305241521069
fastapi,4,550.0,-12
fastapi,5,387.2448979591836,-9.040816326530612
fastapi,6,0.0,8
fastapi,7,493.10344827586204,-10.96551724137931
fastapi,9,542.1668659492494,-11.857579380895443
fastapi,10,292.3106947697111,-7.314739904903838
fastapi,11,344.3397358943578,-8.260722470806504
fastapi,12,495.13103448275865,-3.0551724137931036
fastapi,14,371.031746031746,-8.746031746031747
fastapi,16,0.0189873417721519,2.9936708860759493
httpie,2,339.7813411078717,-8.09380895215229
httpie,3,0.013157894736842105,7
httpie,4,105.0,2
httpie,5,0.0,8
keras,1,13.47591166700263,-2.3131537947918988
keras,3,487.01269341239686,-10.854776243861762
keras,5,182.01777907315653,-5.309414164966482
keras,6,275.0,-7
keras,7,540.2624425847858,-11.82295350154156
keras,10,0.06311881188118812,0.48948019801980225
keras,14,83.33333333333334,-8.666666666666668
keras,17,550.0,-12
keras,18,98.91003241162767,-3.7983642256659573
keras,20,2.8223187742968214,-2.1881545849531214
keras,26,10.972165256623267,-2.1994939137567866
keras,31,29.714728528562535,-2.54026779142841
keras,33,0.0027624309392265192,4.663904235727441
keras,35,3.7449910345365254,-1.9690808450923831
keras,38,481.9824313699736,-10.743670568577123
keras,40,359.8045606330909,-8.224440784959516
keras,41,0.07192807192807193,-0.5786213786213785
keras,43,0.8152173913043479,-2.0815217391304346
pandas,2,403.93721690194604,-9.287387038375904
pandas,12,501.0782551489784,-11.068140848625495
pandas,23,550.0,-12
pandas,43,280.12457531143826,-1
pandas,54,0.03076923076923077,-2.005128205128205
pandas,56,301.0,-7
pandas,68,106.195423855964,-2.129782445611403
pandas,72,550.0,-12
pandas,74,473.8777175496882,-10.49967943113598
pandas,77,400.17857142857144,-9.275974025974026
pandas,81,357.9738408521303,-8.091948621553886
pandas,84,520.2074074074073,-2.0685185185185184
pandas,116,550.0,-12
pandas,137,550.0,-12
pandas,141,394.48271752085816,-7.274135876042909
pandas,143,550.0,-12.0
pandas,146,0.22750424448217318,4
pandas,168,515.0,-12.0
sanic,1,18.894297635605007,-2.343532684283727
sanic,3,156.60762942779294,-4.5532937970828655
sanic,4,255.20154061624652,-6.582885154061625
spacy,1,0,-10
spacy,2,310.8217892530485,-7.651305259146336
spacy,3,0.013321492007104795,-2.0044404973357013
spacy,4,2.9290780141843973,3
spacy,5,170.1346655082537,-2.002606429192007
spacy,6,7.5,0.5
thefuck,2,0.9525222551928783,-2.0635014836795254
thefuck,3,0,-10
thefuck,4,10.053097345132743,-2.0176991150442474
thefuck,6,192.5,-10.333333333333334
thefuck,7,550.0,-12.0
thefuck,8,40.35,-8.725000000000001
thefuck,13,458.731884057971,-10.340579710144928
thefuck,14,0.0,8
thefuck,15,0.0,8
thefuck,17,37.88265306122449,-4.538265306122449
thefuck,19,210.0,-12.0
thefuck,20,6.039999999999999,-0.013333333333333197
thefuck,25,10,-12
thefuck,26,0.15384615384615385,1.2820512820512824
thefuck,28,7.791044776119403,-2.0970149253731343
thefuck,29,5,-7
tornado,1,248.8324746818176,-6.507615516715621
tornado,5,0.03761242845461979,1.320795857181793
tornado,6,51.1468545751634,-2.9299428104575163
tornado,8,275.0,-7
tqdm,4,53.54649599867656,-2.973572654521392
tqdm,5,63.582119741100314,-2.085760517799353
tqdm,6,132.13839285714286,-2.000811688311688
tqdm,7,17.838288834951452,-2.3243325242718447
tqdm,8,4.172350178890876,-2.0758609123434706
tqdm,9,12.218063717909061,-1.3281163006495516
youtube-dl,1,10.381185147071434,-1.9418352406089308
youtube-dl,2,0.0,8
youtube-dl,6,0.0005900865460267506,2.999803304484658
youtube-dl,7,0.017971246006389774,-0.751797124600639
youtube-dl,13,0.003609022556390978,-0.0006015037593982697
youtube-dl,15,0.2548943173943174,-2.004634442134442
youtube-dl,17,0.001176778242677824,0.4996077405857742
youtube-dl,18,90.01505265616076,-3.5712778438969215
youtube-dl,20,0.8413964435146444,-2.0233721234309625
youtube-dl,21,0.00018299935950224174,4.666483667307165
youtube-dl,24,162.79100644151222,-4.918342704821158
youtube-dl,25,0.03042498390212492,-1.5018110109465548
youtube-dl,31,0.005657708628005658,0.8561999057048566
youtube-dl,34,0.36912751677852357,-2.0082028337061892
youtube-dl,41,0.161620294599018,-2.0161620294599016
youtube-dl,43,0.0054894784995425435,-2.001829826166514
