technique,cumulative_distance,sv_comp_overall_score
Tarantula,115.54022024138237,-1.9883038116461502
Ochiai,111.40106301751618,-1.779868363054691
DStar,109.97359349790028,-1.8531962154048864
Metallaxis,137.8216096283383,-3.066663568630132
Muse,156.9883715992974,-3.7581773233062727
PS,10.058154927016519,-8.247284626541639
ST,37.1217486550082,-7.686258255938228
