technique,experiment_time_seconds,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score
Tarantula,662.2385935623105,43,36.134453781512605,71,59.66386554621849,83,69.74789915966386,93,78.15126050420169,0.06549493488057308
Ochiai,662.2385935623105,45,37.81512605042017,72,60.50420168067227,84,70.58823529411765,94,78.99159663865547,0.065428052553681
DStar,662.2385935623105,44,36.97478991596639,72,60.50420168067227,84,70.58823529411765,95,79.83193277310924,0.06541212159539148
Metallaxis,14997.281470276728,38,31.932773109243694,66,55.46218487394958,76,63.86554621848739,84,70.58823529411765,0.10454593126526243
Muse,14997.281470276728,31,26.05042016806723,55,46.21848739495798,68,57.14285714285714,76,63.86554621848739,0.10804255907673906
PS,10626.083067217116,11,9.322033898305085,15,12.711864406779661,16,13.559322033898304,17,14.40677966101695,0.3762101098023386
ST,1.4742537553493793,15,14.423076923076922,22,21.153846153846153,23,22.115384615384613,25,24.03846153846154,0.3388499725124445
