technique,experiment_time_seconds,@1,@3,@5,@10,exam_score
Tarantula,794.2609515390664,14,35,49,64,0.03846915875145062
Ochiai,794.2609515390664,14,34,49,65,0.038433629413444026
DStar,794.2609515390664,13,33,47,64,0.038432634898203706
Metallaxis,13798.187816661055,7,25,29,37,0.18337241992191097
Muse,13798.187816661055,6,21,27,33,0.18261034657764877
PS,4960.824392648454,4,5,7,7,0.2851346785044304
ST,1.481456018843741,0,4,5,11,0.24651700376015756
