project_name,bug_number,cumulative_distance
black,1,19.964162484316187
black,3,5.27110157367668
black,4,44.867354643845964
black,6,53.264569669712664
black,7,214.91203826733985
black,8,176.6809699548344
black,10,0.0
black,11,132.58930602155996
black,14,436.00465964112783
black,15,150.39064213415568
black,18,8.275945537065054
black,19,150.27796935948894
black,23,213.36746426351766
cookiecutter,1,0.005263157894736842
cookiecutter,2,34.18700787401575
cookiecutter,3,0.4132231404958677
cookiecutter,4,5
fastapi,1,0.7044025157232705
fastapi,2,488.9858728557013
fastapi,3,27.03884892086331
fastapi,4,237.36224161690404
fastapi,5,387.2448979591836
fastapi,6,0.0
fastapi,7,493.10344827586204
fastapi,9,542.1668659492494
fastapi,10,292.3106947697111
fastapi,11,344.3397358943578
fastapi,12,465.151724137931
fastapi,14,371.031746031746
fastapi,16,0.0189873417721519
httpie,2,339.7813411078717
httpie,3,0.013157894736842105
httpie,4,10.0
httpie,5,0.0
keras,1,10.657924020519275
keras,3,487.01269341239686
keras,5,241.15777886497062
keras,6,382.20913913821283
keras,7,540.2624425847858
keras,10,0.06311881188118812
keras,14,83.33333333333334
keras,17,100.89999999999999
keras,18,98.91003241162767
keras,20,2.8223187742968214
keras,26,10.972165256623267
keras,31,29.71472852856254
keras,33,0.0027624309392265192
keras,35,3.7449910345365254
keras,38,481.9824313699736
keras,40,359.8045606330909
keras,41,0.07192807192807193
keras,43,0.8152173913043479
pandas,2,403.93721690194604
pandas,12,501.0782551489784
pandas,23,220.9750778816199
pandas,43,10.036240090600225
pandas,54,0.03076923076923077
pandas,56,474.87599866881226
pandas,68,394.92401671846534
pandas,72,491.9197937667843
pandas,74,473.8777175496882
pandas,77,400.17857142857144
pandas,81,357.9738408521303
pandas,84,535.9776094276093
pandas,116,546.4636136868934
pandas,137,550
pandas,141,420.87961859356375
pandas,143,542.7600834807859
pandas,146,87.74108658743634
pandas,168,529.0431079090873
sanic,1,18.894297635605007
sanic,3,156.60762942779294
sanic,4,255.20154061624652
spacy,1,0
spacy,2,310.8217892530485
spacy,3,0.013321492007104795
spacy,4,1.049645390070922
spacy,5,209.53915849571803
spacy,6,7.5
thefuck,2,0.9525222551928783
thefuck,3,0
thefuck,4,10.053097345132743
thefuck,6,192.5
thefuck,7,550.0
thefuck,8,40.35
thefuck,13,458.731884057971
thefuck,14,0.0
thefuck,15,0.0
thefuck,17,37.88265306122449
thefuck,19,210.0
thefuck,20,6.039999999999999
thefuck,25,10
thefuck,26,0.15384615384615385
thefuck,28,7.791044776119403
thefuck,29,5
tornado,1,248.8324746818176
tornado,5,0.03761242845461979
tornado,6,51.1468545751634
tornado,8,228.86204288111952
tqdm,4,53.54649599867656
tqdm,5,113.07944983818771
tqdm,6,90.06168831168833
tqdm,7,17.838288834951456
tqdm,8,4.172350178890876
tqdm,9,12.218063717909061
youtube-dl,1,10.381185147071434
youtube-dl,2,0.0
youtube-dl,6,0.0005900865460267506
youtube-dl,7,0.017971246006389774
youtube-dl,13,0.003609022556390978
youtube-dl,15,0.2548943173943174
youtube-dl,17,0.001176778242677824
youtube-dl,18,90.01505265616076
youtube-dl,20,0.8413964435146444
youtube-dl,21,0.00018299935950224174
youtube-dl,24,162.79100644151222
youtube-dl,25,0.03042498390212492
youtube-dl,31,0.005657708628005658
youtube-dl,34,0.36912751677852357
youtube-dl,41,0.161620294599018
youtube-dl,43,0.0054894784995425435
