project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,cumulative_distance,sv_comp_overall_score
luigi,31,Function,AvgAlfa,0,0,1,0.2890173410404624,-1,1.0,1,0.0008896797153024911,,
luigi,32,Function,AvgAlfa,1,0,0,0.0,-1,1124,0,1.0,,
pandas,2,Function,AvgAlfa,1,1,1,0.6765899864682002,-1,1.0,1,0.0001807337791433219,,
pandas,12,Function,AvgAlfa,1,0,1,0.1620745542949757,-1,24.0,1,0.004318877091956092,,
pandas,23,Function,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.0001802776275464215,,
pandas,43,Function,AvgAlfa,0,1,1,0.23134759976865238,-1,11.0,1,0.0019816249324446046,,
pandas,54,Function,AvgAlfa,0,1,0,0.0,-1,1.0,1,0.00018040772145047808,,
pandas,56,Function,AvgAlfa,0,0,0,0.0,-1,24.0,1,0.004331348132106118,,
pandas,68,Function,AvgAlfa,1,0,0,0.0,-1,5529,0,1.0,,
pandas,72,Function,AvgAlfa,1,1,1,1.6006739679865205,-1,2.0,1,0.00036172906493036716,,
pandas,74,Function,AvgAlfa,0,1,1,0.3546099290780142,-1,4.0,1,0.000724112961622013,,
pandas,77,Function,AvgAlfa,1,0,0,0.0,-1,1.5,1,0.0002714932126696833,,
pandas,81,Function,AvgAlfa,1,1,1,2.1505376344086025,-1,7.0,1,0.0012706480304955528,,
pandas,84,Function,AvgAlfa,1,0,0,0.0,-1,3.0,1,0.0005452562704471102,,
pandas,116,Function,AvgAlfa,1,0,0,0.0,-1,25.0,1,0.004465880671668453,,
pandas,137,Function,AvgAlfa,1,1,1,0.1282051282051282,-1,9.0,1,0.0016051364365971107,,
pandas,141,Function,AvgAlfa,1,0,1,6.2645011600928076,-1,9.0,1,0.0016105941302791697,,
pandas,143,Function,AvgAlfa,1,1,1,0.49261083743842365,-1,9.0,1,0.0016114592658907788,,
pandas,146,Function,AvgAlfa,1,1,1,19.047619047619047,-1,1.0,1,0.00017908309455587392,,
pandas,168,Function,AvgAlfa,1,1,0,0.0,-1,1.0,1,0.000175530981218185,,
sanic,1,Function,AvgAlfa,0,0,0,0.0,-1,1.5,1,0.0018796992481203006,,
sanic,3,Function,AvgAlfa,0,1,1,5.88235294117647,-1,1.0,1,0.0012437810945273632,,
sanic,4,Function,AvgAlfa,0,1,1,0.2004008016032064,-1,7.5,1,0.009627727856225931,,
spacy,1,Function,AvgAlfa,0,0,0,0,-1,1.0,1,0.0010706638115631692,,
spacy,2,Function,AvgAlfa,0,0,0,0.0,-1,2.5,1,0.002682403433476395,,
spacy,3,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.0010214504596527069,,
spacy,4,Function,AvgAlfa,1,0,1,46.51162790697674,-1,1.0,1,0.0010298661174047373,,
spacy,5,Function,AvgAlfa,1,0,0,0.0,-1,1.0,1,0.0010319917440660474,,
spacy,6,Function,AvgAlfa,0,1,1,0.8620689655172413,-1,2.0,1,0.002079002079002079,,
thefuck,2,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.0017857142857142857,,
thefuck,3,Function,AvgAlfa,0,0,0,0,-1,1.0,1,0.0018050541516245488,,
thefuck,4,Function,AvgAlfa,1,0,1,37.5,-1,1.0,1,0.0018726591760299626,,
thefuck,6,Function,AvgAlfa,1,0,1,4.545454545454546,-1,1.0,1,0.0018867924528301887,,
thefuck,7,Function,AvgAlfa,0,0,0,0.0,-1,5.5,1,0.01065891472868217,,
thefuck,8,Function,AvgAlfa,0,0,0,0.0,-1,1.0,1,0.0020325203252032522,,
thefuck,13,Function,AvgAlfa,0,0,0,0.0,-1,2.0,1,0.005681818181818182,,
thefuck,14,Function,AvgAlfa,0,1,1,100.0,-1,1.0,1,0.002932551319648094,,
thefuck,15,Function,AvgAlfa,0,0,1,4.3478260869565215,-1,1.0,1,0.0029498525073746312,,
