technique,experiment_time_seconds,e_inspect,@1,@1%,@3,@3%,@5,@5%,@10,@10%,exam_score,java_exam_score,cumulative_distance,sv_comp_overall_score
AvgAlfa,-1.0,65.29291044776119,71,52.98507462686567,96,71.64179104477611,103,76.86567164179104,114,85.07462686567165,0.06512044651636892,0.013006330013549632,,
AvgSbst,-1.0,66.04664179104478,59,44.02985074626866,86,64.17910447761194,98,73.13432835820896,107,79.8507462686567,0.0672305970420326,0.015268411377061086,,
AVG,-1.0,65.66977611940298,65.0,48.507462686567166,91.0,67.91044776119404,100.5,75.0,110.5,82.46268656716418,0.06617552177920076,0.014137370695305358,,
